0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.01,0
0,0
0.01,0
0.01,0
0.01,0
0.01,0
0.01,0
0.01,0
0.01,0
0.01,0
0.01,0
0.01,0
0.01,0
0.01,0
0.02,0
0.02,0
0.02,0
0.02,0
0.02,0
0.02,0
0.02,0
0.02,0
0.03,0
0.03,0
0.03,0
0.04,0.0025
0.04,0.005
0.05,0.0075
0.05,0.0125
0.06,0.015
0.07,0.02
0.07,0.0225
0.08,0.0375
0.09,0.0425
0.1,0.0425
0.1,0.055
0.11,0.0625
0.12,0.0725
0.12,0.08
0.13,0.0925
0.14,0.095
0.15,0.0925
0.17,0.0975
0.18,0.1225
0.19,0.155
0.2,0.16
0.21,0.1725
0.23,0.175
0.24,0.1825
0.25,0.205
0.27,0.2275
0.29,0.2575
0.3,0.2925
0.32,0.325
0.34,0.3675
0.36,0.3925
0.38,0.4
0.4,0.445
0.42,0.4525
0.43,0.4675
0.45,0.4875
0.47,0.4875
0.49,0.485
0.52,0.5325
0.54,0.535
0.57,0.5475
0.61,0.5775
0.64,0.605
0.67,0.6175
0.7,0.6275
0.72,0.65
0.75,0.695
0.78,0.69
0.82,0.7
0.86,0.735
0.9,0.76
0.94,0.765
0.97,0.79
1.01,0.8075
1.05,0.83
1.08,0.8575
1.11,0.8775
1.14,0.8725
1.18,0.8975
1.22,0.915
1.26,0.9325
1.3,0.9325
1.34,0.94
1.39,0.94
1.43,0.9325
1.47,0.94
1.51,0.9475
